energy, R, scale, proportional
43.50000, 3.95000, 0.000528471, 0.00208746
43.53000, 3.98000, 0.000527743, 0.00210042
43.70000, 4.11000, 0.000523645, 0.00215218
44.20000, 3.99000, 0.000511865, 0.00204234
44.20000, 4.22000, 0.000511865, 0.00216007
44.23000, 4.13000, 0.000511171, 0.00211114
44.41000, 3.96000, 0.000507036, 0.00200786
45.48000, 4.15000, 0.000483458, 0.00200635
45.59000, 4.38000, 0.000481128, 0.00210734
46.00000, 4.07000, 0.00047259, 0.00192344
46.47000, 4.02000, 0.000463079, 0.00186158
46.47000, 4.40000, 0.000463079, 0.00203755
46.60000, 4.18000, 0.000460498, 0.00192488
50.00000, 4.37000, 0.0004, 0.001748
50.00000, 4.49000, 0.0004, 0.001796
50.00000, 4.57000, 0.0004, 0.001828
52.00000, 4.28000, 0.000369822, 0.00158284
52.00000, 4.56000, 0.000369822, 0.00168639
52.00000, 4.66000, 0.000369822, 0.00172337
54.00000, 4.72000, 0.000342936, 0.00161866
54.00000, 5.00000, 0.000342936, 0.00171468
55.00000, 4.63000, 0.000330579, 0.00153058
55.00000, 4.65000, 0.000330579, 0.00153719
56.00000, 5.08000, 0.000318878, 0.0016199
56.00000, 5.20000, 0.000318878, 0.00165816
56.50000, 5.12000, 0.000313259, 0.00160388
56.50000, 5.32000, 0.000313259, 0.00166654
57.00000, 4.90000, 0.000307787, 0.00150816
57.00000, 5.16000, 0.000307787, 0.00158818
57.37000, 4.38000, 0.00030383, 0.00133077
57.77000, 4.89000, 0.000299637, 0.00146522
57.97000, 4.78000, 0.000297573, 0.0014224
58.22000, 4.67000, 0.000295023, 0.00137776
58.29000, 5.34000, 0.000294315, 0.00157164
58.47000, 4.24000, 0.000292505, 0.00124022
58.50000, 5.31000, 0.000292205, 0.00155161
58.72000, 4.75000, 0.00029002, 0.00137759
58.97000, 5.52000, 0.000287566, 0.00158737
59.00000, 5.42000, 0.000287274, 0.00155702
59.05000, 6.60000, 0.000286787, 0.0018928
59.06000, 5.74000, 0.00028669, 0.0016456
59.22000, 5.02000, 0.000285143, 0.00143142
59.47000, 5.38000, 0.000282751, 0.0015212
59.84000, 4.66000, 0.000279265, 0.00130138
60.00000, 5.31000, 0.000277778, 0.001475
60.00000, 5.83000, 0.000277778, 0.00161944
60.80000, 5.57000, 0.000270516, 0.00150677
60.80000, 5.66000, 0.000270516, 0.00153112
61.40000, 5.44000, 0.000265255, 0.00144299
61.40000, 5.86000, 0.000265255, 0.00155439
63.60000, 6.10000, 0.000247221, 0.00150805
64.00000, 5.80000, 0.000244141, 0.00141602
88.22300, 481.73600, 0.00012848, 0.0618936
88.22300, 495.71500, 0.00012848, 0.0636896
88.22400, 497.89600, 0.000128477, 0.0639683
88.23100, 479.78800, 0.000128457, 0.0616321
88.27800, 543.49400, 0.00012832, 0.0697413
88.46400, 560.75900, 0.000127781, 0.0716544
88.46400, 595.60300, 0.000127781, 0.0761068
88.48000, 568.84000, 0.000127735, 0.0726608
88.48100, 583.04100, 0.000127732, 0.074473
89.21700, 952.90400, 0.000125633, 0.119716
89.22200, 961.05400, 0.000125619, 0.120727
89.22600, 955.61300, 0.000125608, 0.120033
89.23600, 966.31100, 0.00012558, 0.121349
89.28300, 1100.60000, 0.000125448, 0.138068
89.45500, 1146.13000, 0.000124966, 0.143227
89.45500, 1148.42000, 0.000124966, 0.143513
89.47000, 1165.30000, 0.000124924, 0.145574
89.47200, 1163.15000, 0.000124918, 0.145299
90.20800, 2118.07000, 0.000122888, 0.260286
90.21200, 2162.19000, 0.000122877, 0.265684
90.21700, 2135.18000, 0.000122864, 0.262336
90.21700, 2205.20000, 0.000122864, 0.270939
90.22600, 2223.58000, 0.000122839, 0.273143
90.22700, 2173.78000, 0.000122836, 0.267019
90.22800, 2160.79000, 0.000122834, 0.265418
90.23800, 2217.19000, 0.000122806, 0.272285
90.24000, 2235.15000, 0.000122801, 0.274479
90.28400, 2324.57000, 0.000122681, 0.285181
91.03400, 3517.02000, 0.000120668, 0.424392
91.20700, 3540.10000, 0.000120211, 0.425558
91.20800, 3483.05000, 0.000120208, 0.418691
91.21500, 3522.12000, 0.00012019, 0.423323
91.21700, 3530.68000, 0.000120184, 0.424333
91.22200, 3504.57000, 0.000120171, 0.421149
91.22300, 3488.01000, 0.000120169, 0.41915
91.22300, 3521.54000, 0.000120169, 0.423179
